comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,8,262144000,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,None,None,None,1
